1489575308561	FORM		D:/project/sabok3/ubi4/work/ubi_sample.jrf	2017-03-15 19:55:08	2017-03-15 19:55:08	26	SUCCESS		127.0.0.1
1489575308376	GATEWAY			2017-03-15 19:55:08	2017-03-15 19:55:11	3557	SUCCESS		127.0.0.1
1489575426489	FORM		D:/project/sabok3/ubi4/work/ubi_sample.jrf	2017-03-15 19:57:06	2017-03-15 19:57:06	13	SUCCESS		127.0.0.1
1489575426469	GATEWAY			2017-03-15 19:57:06	2017-03-15 19:57:06	336	SUCCESS		127.0.0.1
1489575450987	FORM		D:/project/sabok3/ubi4/work/ubi_sample.jrf	2017-03-15 19:57:30	2017-03-15 19:57:31	15	SUCCESS		127.0.0.1
1489575450973	GATEWAY			2017-03-15 19:57:30	2017-03-15 19:57:31	184	SUCCESS		127.0.0.1
1489575481509	FORM		D:/project/sabok3/ubi4/work/ubi_sample.jrf	2017-03-15 19:58:01	2017-03-15 19:58:01	13	SUCCESS		127.0.0.1
1489575481491	GATEWAY			2017-03-15 19:58:01	2017-03-15 19:58:01	171	SUCCESS		127.0.0.1
1489579550097	FORM		D:/project/sabok3/ubi4/work/ubi_sample.jrf	2017-03-15 21:05:50	2017-03-15 21:05:50	34	SUCCESS		127.0.0.1
1489579549922	GATEWAY			2017-03-15 21:05:49	2017-03-15 21:05:53	3176	SUCCESS		127.0.0.1
1489579768264	FORM		D:/project/sabok3/ubi4/work/ubi_sample.jrf	2017-03-15 21:09:28	2017-03-15 21:09:28	15	SUCCESS		127.0.0.1
1489579768241	GATEWAY			2017-03-15 21:09:27	2017-03-15 21:09:28	647	SUCCESS		127.0.0.1
1489581519610	FORM		D:/project/sabok3/ubi4/work/ubi_sample.jrf	2017-03-15 21:38:39	2017-03-15 21:38:39	20	SUCCESS		127.0.0.1
1489581519562	GATEWAY			2017-03-15 21:38:39	2017-03-15 21:38:39	129	SUCCESS		127.0.0.1
