1525930143788	GATEWAY			2018-05-10 14:29:03	2018-05-10 14:29:03	0	SUCCESS		112.161.112.16
1525930143975	GATEWAY			2018-05-10 14:29:03	2018-05-10 14:29:03	16	SUCCESS		112.161.112.16
1525930143975	GATEWAY			2018-05-10 14:29:03	2018-05-10 14:29:03	16	SUCCESS		112.161.112.16
1525930144864	GATEWAY			2018-05-10 14:29:04	2018-05-10 14:29:04	16	SUCCESS		112.161.112.16
1525930145223	GATEWAY			2018-05-10 14:29:05	2018-05-10 14:29:05	32	SUCCESS		112.161.112.16
1525930145223	GATEWAY			2018-05-10 14:29:05	2018-05-10 14:29:05	16	SUCCESS		112.161.112.16
1525930149217	GATEWAY			2018-05-10 14:29:09	2018-05-10 14:29:09	15	SUCCESS		112.161.112.16
1525930149560	GATEWAY			2018-05-10 14:29:09	2018-05-10 14:29:09	15	SUCCESS		112.161.112.16
1525930149560	GATEWAY			2018-05-10 14:29:09	2018-05-10 14:29:09	62	SUCCESS		112.161.112.16
1525930211056	GATEWAY			2018-05-10 14:30:11	2018-05-10 14:30:11	47	SUCCESS		112.161.112.16
1525930211056	GATEWAY			2018-05-10 14:30:11	2018-05-10 14:30:11	47	SUCCESS		112.161.112.16
1525930219730	GATEWAY			2018-05-10 14:30:19	2018-05-10 14:30:19	31	SUCCESS		112.161.112.16
1525930221274	GATEWAY			2018-05-10 14:30:21	2018-05-10 14:30:21	47	SUCCESS		112.161.112.16
1525930223786	GATEWAY			2018-05-10 14:30:23	2018-05-10 14:30:36	12948	SUCCESS		112.161.112.16
1525930236812	GATEWAY			2018-05-10 14:30:36	2018-05-10 14:30:38	2044	SUCCESS		112.161.112.16
1525930263442	GATEWAY			2018-05-10 14:31:03	2018-05-10 14:31:40	37269	SUCCESS		112.161.112.16
1525930300898	GATEWAY			2018-05-10 14:31:40	2018-05-10 14:31:40	0	ERROR	String index out of range: -1	112.161.112.16
1525930318012	GATEWAY			2018-05-10 14:31:58	2018-05-10 14:31:58	0	ERROR	String index out of range: -1	112.161.112.16
